Time measurement,Extension,Primary load measurement
(s),(in),(lbf)
"0.00000","0.0000","-0.0322"
"0.20000","0.0005","-0.0201"
"0.40000","0.0014","0.1952"
"0.60000","0.0022","0.7163"
"0.80000","0.0031","1.2886"
"1.00000","0.0039","1.8676"
"1.20000","0.0048","2.4417"
"1.40000","0.0056","3.0206"
"1.60000","0.0064","3.5946"
"1.80000","0.0073","4.1655"
"2.00000","0.0081","4.7344"
"2.20000","0.0089","5.3028"
"2.40000","0.0098","5.8637"
"2.60000","0.0106","6.4305"
"2.80000","0.0114","6.9753"
"3.00000","0.0123","7.5174"
"3.20000","0.0131","8.0405"
"3.40000","0.0139","8.5351"
"3.60000","0.0148","8.9995"
"3.80000","0.0156","9.3922"
"4.00000","0.0164","9.7030"
"4.20000","0.0173","9.9335"
"4.40000","0.0181","10.0847"
"4.60000","0.0189","10.1780"
"4.80000","0.0198","10.2567"
"5.00000","0.0206","10.3183"
"5.20000","0.0214","10.3744"
"5.40000","0.0223","10.4335"
"5.60000","0.0231","10.4884"
"5.80000","0.0239","10.5450"
"6.00000","0.0248","10.6054"
"6.20000","0.0256","10.6724"
"6.40000","0.0264","10.7386"
"6.60000","0.0273","10.8095"
"6.80000","0.0281","10.8862"
"7.00000","0.0289","10.9599"
"7.20000","0.0298","11.0360"
"7.40000","0.0306","11.1126"
"7.60000","0.0314","11.1886"
"7.80000","0.0323","11.2655"
"8.00000","0.0331","11.3336"
"8.20000","0.0339","11.4114"
"8.40000","0.0348","11.4838"
"8.60000","0.0356","11.5463"
"8.80000","0.0364","11.6168"
"9.00000","0.0373","11.6848"
"9.20000","0.0381","11.7424"
"9.40000","0.0389","11.8054"
"9.60000","0.0398","11.8660"
"9.80000","0.0406","11.9209"
"10.00000","0.0414","11.9761"
"10.20000","0.0423","12.0312"
"10.40000","0.0431","12.0845"
"10.60000","0.0439","12.1323"
"10.80000","0.0448","12.1834"
"11.00000","0.0456","12.2321"
"11.20000","0.0464","12.2759"
"11.40000","0.0473","12.3191"
"11.60000","0.0481","12.3650"
