Time measurement,Extension,Primary load measurement
(s),(in),(lbf)
"0.00000","0.0000","-7.6562"
"0.20000","0.0006","-7.5921"
"0.40000","0.0015","-7.4992"
"0.60000","0.0023","-7.4090"
"0.80000","0.0031","-7.3027"
"1.00000","0.0040","-7.2007"
"1.20000","0.0048","-7.0945"
"1.40000","0.0056","-6.9634"
"1.60000","0.0065","-6.8392"
"1.80000","0.0073","-6.7016"
"2.00000","0.0081","-6.5387"
"2.20000","0.0090","-6.3547"
"2.40000","0.0098","-6.1401"
"2.60000","0.0106","-5.9179"
"2.80000","0.0115","-5.6373"
"3.00000","0.0123","-5.3158"
"3.20000","0.0131","-4.9367"
"3.40000","0.0140","-4.4693"
"3.60000","0.0148","-3.8771"
"3.80000","0.0156","-3.1239"
"4.00000","0.0165","-2.1385"
"4.20000","0.0173","-0.8218"
"4.40000","0.0181","0.9715"
"4.60000","0.0190","3.3412"
"4.80000","0.0198","6.4003"
"5.00000","0.0206","10.2028"
"5.20000","0.0215","14.6915"
"5.40000","0.0223","19.6096"
"5.60000","0.0231","24.9204"
"5.80000","0.0240","30.3892"
"6.00000","0.0248","36.1168"
"6.20000","0.0257","41.8869"
"6.40000","0.0265","47.6085"
"6.60000","0.0273","53.3848"
"6.80000","0.0281","59.1943"
"7.00000","0.0290","64.9925"
"7.20000","0.0298","70.6810"
"7.40000","0.0306","76.3477"
"7.60000","0.0315","81.8849"
"7.80000","0.0323","87.3513"
"8.00000","0.0331","92.7533"
"8.20000","0.0340","98.0585"
"8.40000","0.0348","103.2651"
"8.60000","0.0356","108.3415"
"8.80000","0.0365","113.3242"
"9.00000","0.0373","118.3298"
"9.20000","0.0381","123.1473"
"9.40000","0.0390","127.7964"
"9.60000","0.0398","132.4219"
"9.80000","0.0406","136.9816"
"10.00000","0.0415","141.3990"
"10.20000","0.0423","145.7363"
"10.40000","0.0431","149.8968"
"10.60000","0.0440","153.9624"
"10.80000","0.0448","157.9333"
"11.00000","0.0456","161.7269"
"11.20000","0.0465","165.2085"
"11.40000","0.0473","168.8002"
"11.60000","0.0481","172.2488"
"11.80000","0.0490","175.5430"
"12.00000","0.0498","178.5600"
"12.04500","0.0500","179.2701"
"12.04600","0.0500","179.2862"
"12.04700","0.0500","179.3024"
"12.24700","0.0500","176.9840"
"12.44700","0.0496","172.5824"
"12.64700","0.0492","168.5981"
"12.84700","0.0488","164.6428"
"13.04700","0.0484","160.8789"
"13.24700","0.0480","157.1630"
"13.44700","0.0475","153.3781"
"13.64700","0.0471","149.6608"
"13.84700","0.0467","146.0086"
"14.04700","0.0463","142.2996"
"14.24700","0.0459","138.8129"
"14.44700","0.0454","135.1413"
"14.64700","0.0450","131.6992"
"14.84700","0.0446","128.1058"
"15.04700","0.0442","124.6294"
"15.24700","0.0438","121.1349"
"15.44700","0.0434","117.6230"
"15.64700","0.0429","114.1016"
"15.84700","0.0425","110.7457"
"16.04700","0.0421","107.2397"
"16.24700","0.0417","103.9113"
"16.44700","0.0413","100.3716"
"16.64700","0.0409","97.0132"
"16.84700","0.0404","93.5990"
"17.04700","0.0400","90.2545"
"17.24700","0.0396","86.8879"
"17.44700","0.0392","83.5611"
"17.64700","0.0388","80.1727"
"17.84700","0.0384","76.9735"
"18.04700","0.0379","73.6330"
"18.24700","0.0375","70.4206"
"18.44700","0.0371","67.0328"
"18.64700","0.0367","63.8468"
"18.84700","0.0363","60.7049"
"19.04700","0.0359","57.5512"
"19.24700","0.0354","54.3739"
"19.44700","0.0350","51.2325"
"19.64700","0.0346","48.0763"
"19.84700","0.0342","45.0696"
"20.04700","0.0338","41.9756"
"20.24700","0.0334","38.9861"
"20.44700","0.0329","35.9380"
"20.64700","0.0325","32.9625"
"20.84700","0.0321","30.0640"
"21.04700","0.0317","27.1233"
"21.24700","0.0313","24.2354"
"21.44700","0.0309","21.4103"
"21.64700","0.0304","18.6015"
"21.84700","0.0300","15.8705"
"22.04700","0.0296","13.1668"
"22.24700","0.0292","10.5280"
"22.44700","0.0288","8.0546"
"22.64700","0.0284","5.5988"
"22.84700","0.0279","3.3714"
"23.04700","0.0275","1.2247"
"23.18000","0.0273","-0.0079"
"23.18100","0.0273","-0.0179"
"23.18200","0.0272","-0.0278"
"23.38200","0.0277","2.6842"
"23.58200","0.0285","8.5457"
"23.78200","0.0294","14.9261"
"23.98200","0.0302","21.6232"
"24.18200","0.0310","28.5813"
"24.38200","0.0319","35.4206"
"24.58200","0.0327","42.3362"
"24.78200","0.0335","49.2470"
"24.98200","0.0344","56.2016"
"25.18200","0.0352","63.1346"
"25.38200","0.0360","69.9474"
"25.58200","0.0369","76.7664"
"25.78200","0.0377","83.5881"
"25.98200","0.0385","90.3131"
"26.18200","0.0394","96.9846"
"26.38200","0.0402","103.6265"
"26.58200","0.0410","110.1216"
"26.78200","0.0419","116.5582"
"26.98200","0.0427","122.9504"
"27.18200","0.0435","129.2323"
"27.38200","0.0444","135.4245"
"27.58200","0.0452","141.4200"
"27.78200","0.0460","147.3129"
"27.98200","0.0469","153.0393"
"28.18200","0.0477","158.1848"
"28.38200","0.0485","162.7078"
"28.58200","0.0494","165.9244"
"28.78200","0.0502","168.1909"
"28.98200","0.0510","169.3326"
"29.18200","0.0519","167.3743"
"29.28000","0.0523","96.1775"

