Time measurement,Extension,Primary load measurement
(s),(in),(lbf)
"0.00000","0.0000","0.0502"
"0.20000","0.0006","0.0640"
"0.40000","0.0014","0.0953"
"0.60000","0.0023","0.1602"
"0.80000","0.0031","0.3368"
"1.00000","0.0039","0.6998"
"1.20000","0.0048","1.1635"
"1.40000","0.0056","1.6579"
"1.60000","0.0065","2.1747"
"1.80000","0.0073","2.6997"
"2.00000","0.0081","3.2258"
"2.20000","0.0090","3.7582"
"2.40000","0.0098","4.2857"
"2.60000","0.0106","4.7983"
"2.80000","0.0114","5.3034"
"3.00000","0.0123","5.7971"
"3.20000","0.0131","6.2778"
"3.40000","0.0140","6.7461"
"3.60000","0.0148","7.2069"
"3.80000","0.0156","7.6652"
"4.00000","0.0165","8.1297"
"4.20000","0.0173","8.5838"
"4.40000","0.0181","9.0426"
"4.60000","0.0190","9.4929"
"4.80000","0.0198","9.9504"
"5.00000","0.0206","10.4014"
"5.20000","0.0215","10.8465"
"5.40000","0.0223","11.2938"
"5.60000","0.0231","11.7428"
"5.80000","0.0240","12.1905"
"6.00000","0.0248","12.6295"
"6.20000","0.0256","13.0748"
"6.40000","0.0265","13.5123"
"6.60000","0.0273","13.9493"
"6.80000","0.0281","14.3861"
"7.00000","0.0290","14.8136"
"7.20000","0.0298","15.2421"
"7.40000","0.0306","15.6625"
"7.60000","0.0314","16.0822"
"7.80000","0.0323","16.5002"
"8.00000","0.0331","16.9087"
"8.20000","0.0339","17.3072"
"8.40000","0.0348","17.6947"
"8.60000","0.0356","18.0813"
"8.80000","0.0364","18.4447"
"9.00000","0.0373","18.7963"
"9.20000","0.0381","19.1241"
"9.40000","0.0390","19.4376"
"9.60000","0.0398","19.7234"
"9.80000","0.0406","19.9763"
"10.00000","0.0414","20.2052"
"10.20000","0.0423","20.4030"
"10.29300","0.0427","12.0520"

