Time measurement,Extension,Primary load measurement
(s),(in),(lbf)
"0.00000","0.0000","-4.0343"
"0.20000","0.0006","-3.9430"
"0.40000","0.0014","-3.7912"
"0.60000","0.0023","-3.6197"
"0.80000","0.0031","-3.4283"
"1.00000","0.0039","-3.2286"
"1.20000","0.0048","-3.0055"
"1.40000","0.0056","-2.7558"
"1.60000","0.0064","-2.4911"
"1.80000","0.0073","-2.2023"
"2.00000","0.0081","-1.8916"
"2.20000","0.0089","-1.5364"
"2.40000","0.0098","-1.1538"
"2.60000","0.0106","-0.7216"
"2.80000","0.0114","-0.2167"
"3.00000","0.0123","0.3531"
"3.20000","0.0131","1.0171"
"3.40000","0.0139","1.7950"
"3.60000","0.0148","2.6951"
"3.80000","0.0156","3.7373"
"4.00000","0.0164","4.9535"
"4.20000","0.0173","6.3702"
"4.40000","0.0181","8.0016"
"4.60000","0.0190","9.9405"
"4.80000","0.0198","12.3151"
"5.00000","0.0206","15.1059"
"5.20000","0.0215","18.2321"
"5.40000","0.0223","21.6091"
"5.60000","0.0231","25.3841"
"5.80000","0.0239","29.4684"
"6.00000","0.0248","33.9210"
"6.20000","0.0256","38.5589"
"6.40000","0.0265","43.3681"
"6.60000","0.0273","48.3217"
"6.80000","0.0281","53.3982"
"7.00000","0.0290","58.5111"
"7.20000","0.0298","63.5756"
"7.40000","0.0306","68.6557"
"7.60000","0.0315","73.6317"
"7.80000","0.0323","78.5533"
"8.00000","0.0331","83.4622"
"8.20000","0.0340","88.1872"
"8.40000","0.0348","92.8428"
"8.60000","0.0356","97.3927"
"8.80000","0.0364","101.8169"
"9.00000","0.0373","106.2768"
"9.20000","0.0381","110.4067"
"9.40000","0.0389","114.7524"
"9.60000","0.0398","118.9679"
"9.80000","0.0406","123.2232"
"10.00000","0.0414","127.3684"
"10.20000","0.0423","131.4612"
"10.40000","0.0431","135.5391"
"10.60000","0.0439","139.6140"
"10.80000","0.0448","143.7022"
"11.00000","0.0456","147.5940"
"11.20000","0.0464","151.3967"
"11.40000","0.0473","155.2281"
"11.60000","0.0481","159.1007"
"11.80000","0.0489","162.9321"
"12.00000","0.0498","166.5753"
"12.05200","0.0500","167.5457"
"12.05300","0.0500","167.5633"
"12.05400","0.0500","167.5806"
"12.25400","0.0500","165.5585"
"12.45400","0.0496","161.0047"
"12.65400","0.0492","156.8631"
"12.85400","0.0488","152.8233"
"13.05400","0.0483","148.7314"
"13.25400","0.0479","145.0366"
"13.45400","0.0475","141.2683"
"13.65400","0.0471","137.5995"
"13.85400","0.0467","133.9839"
"14.05400","0.0462","130.3094"
"14.25400","0.0458","126.8756"
"14.45400","0.0454","123.2509"
"14.65400","0.0450","119.8132"
"14.85400","0.0446","116.2419"
"15.05400","0.0442","112.7404"
"15.25400","0.0438","109.2397"
"15.45400","0.0433","105.7403"
"15.65400","0.0429","102.2149"
"15.85400","0.0425","98.8384"
"16.05400","0.0421","95.3169"
"16.25400","0.0417","91.9947"
"16.45400","0.0413","88.4679"
"16.65400","0.0408","85.1255"
"16.85400","0.0404","81.6877"
"17.05400","0.0400","78.3674"
"17.25400","0.0396","75.0330"
"17.45400","0.0392","71.7251"
"17.65400","0.0388","68.3792"
"17.85400","0.0383","65.2223"
"18.05400","0.0379","61.9527"
"18.25400","0.0375","58.8074"
"18.45400","0.0371","55.4967"
"18.65400","0.0367","52.4347"
"18.85400","0.0363","49.3852"
"19.05400","0.0358","46.3830"
"19.25400","0.0354","43.3468"
"19.45400","0.0350","40.3829"
"19.65400","0.0346","37.4801"
"19.85400","0.0342","34.7351"
"20.05400","0.0338","31.9812"
"20.25400","0.0333","29.3858"
"20.45400","0.0329","26.7819"
"20.65400","0.0325","24.3675"
"20.85400","0.0321","22.0993"
"21.05400","0.0317","19.7896"
"21.25400","0.0313","17.5506"
"21.45400","0.0308","15.4677"
"21.65400","0.0304","13.5281"
"21.85400","0.0300","11.7911"
"22.05400","0.0296","10.1838"
"22.25400","0.0292","8.6255"
"22.45400","0.0288","7.2333"
"22.65400","0.0283","5.9752"
"22.85400","0.0279","4.8844"
"23.05400","0.0275","3.8811"
"23.25400","0.0271","3.0258"
"23.45400","0.0267","2.2807"
"23.65400","0.0263","1.5932"
"23.85400","0.0258","0.9942"
"24.05400","0.0254","0.4677"
"24.24700","0.0250","-0.0009"
"24.24800","0.0250","-0.0034"
"24.24900","0.0250","-0.0059"
"24.44900","0.0255","0.6125"
"24.64900","0.0263","1.9986"
"24.84900","0.0271","3.7561"
"25.04900","0.0280","6.0770"
"25.24900","0.0288","9.0910"
"25.44900","0.0296","12.8183"
"25.64900","0.0305","17.0362"
"25.84900","0.0313","22.0035"
"26.04900","0.0321","27.2343"
"26.24900","0.0330","33.0396"
"26.44900","0.0338","39.2700"
"26.64900","0.0346","45.6995"
"26.84900","0.0355","52.2195"
"27.04900","0.0363","58.8656"
"27.24900","0.0371","65.5541"
"27.44900","0.0380","72.2888"
"27.64900","0.0388","78.9514"
"27.84900","0.0396","85.6036"
"28.04900","0.0405","92.2755"
"28.24900","0.0413","98.8205"
"28.44900","0.0421","105.3005"
"28.64900","0.0430","111.7650"
"28.84900","0.0438","118.2258"
"29.04900","0.0446","124.4786"
"29.24900","0.0455","130.6064"
"29.44900","0.0463","136.5362"
"29.64900","0.0471","142.1990"
"29.84900","0.0480","147.1277"
"30.04900","0.0488","151.6691"
"30.24900","0.0496","155.4917"
"30.44900","0.0505","156.9790"
"30.59900","0.0511","91.9023"

