Time measurement,Extension,Primary load measurement
(s),(in),(lbf)
"0.00000","-0.0035","-0.2224"
"0.20000","-0.0034","-0.2023"
"0.40000","-0.0034","-0.1542"
"0.60000","-0.0033","-0.1025"
"0.80000","-0.0033","-0.0445"
"1.00000","-0.0032","0.0165"
"1.20000","-0.0031","0.0797"
"1.40000","-0.0031","0.1445"
"1.60000","-0.0030","0.2145"
"1.80000","-0.0029","0.2944"
"2.00000","-0.0028","0.3776"
"2.20000","-0.0028","0.4639"
"2.40000","-0.0027","0.5488"
"2.60000","-0.0026","0.6345"
"2.80000","-0.0026","0.7236"
"3.00000","-0.0025","0.8229"
"3.20000","-0.0024","0.9233"
"3.40000","-0.0024","1.0233"
"3.60000","-0.0023","1.1266"
"3.80000","-0.0022","1.2364"
"4.00000","-0.0022","1.3515"
"4.20000","-0.0021","1.4644"
"4.40000","-0.0020","1.5746"
"4.60000","-0.0020","1.6817"
"4.80000","-0.0019","1.7920"
"5.00000","-0.0018","1.9082"
"5.20000","-0.0018","2.0239"
"5.40000","-0.0017","2.1361"
"5.60000","-0.0016","2.2428"
"5.80000","-0.0016","2.3461"
"6.00000","-0.0015","2.4545"
"6.20000","-0.0014","2.5663"
"6.40000","-0.0014","2.6712"
"6.60000","-0.0013","2.7702"
"6.80000","-0.0012","2.8668"
"7.00000","-0.0012","2.9665"
"7.20000","-0.0011","3.0658"
"7.40000","-0.0010","3.1597"
"7.60000","-0.0010","3.2437"
"7.80000","-0.0009","3.3253"
"8.00000","-0.0008","3.4107"
"8.20000","-0.0008","3.5011"
"8.40000","-0.0007","3.5978"
"8.60000","-0.0006","3.6913"
"8.80000","-0.0006","3.7758"
"9.00000","-0.0005","3.8621"
"9.20000","-0.0004","3.9536"
"9.40000","-0.0004","4.0505"
"9.60000","-0.0003","4.1486"
"9.80000","-0.0002","4.2444"
"10.00000","-0.0002","4.3423"
"10.20000","-0.0001","4.4458"
"10.40000","0.0000","4.5495"
"10.60000","0.0000","4.6544"
"10.80000","0.0001","4.7559"
"11.00000","0.0002","4.8554"
"11.20000","0.0002","4.9664"
"11.40000","0.0003","5.0787"
"11.60000","0.0004","5.1910"
"11.80000","0.0004","5.3013"
"12.00000","0.0005","5.4088"
"12.20000","0.0006","5.5151"
"12.40000","0.0006","5.6296"
"12.60000","0.0007","5.7472"
"12.80000","0.0008","5.8585"
