Time,Displacement,Force
(s),(in),(lbf)
"0.0000","0.0000","-0.2863"
"0.1000","0.0001","-0.2867"
"0.2000","0.0005","-0.2828"
"0.3000","0.0010","-0.2799"
"0.4000","0.0014","-0.2748"
"0.5000","0.0018","-0.2670"
"0.6000","0.0022","-0.2582"
"0.7000","0.0027","-0.2461"
"0.8000","0.0031","-0.2248"
"0.9000","0.0035","-0.1792"
"1.0000","0.0039","-0.0070"
"1.1000","0.0043","0.4651"
"1.2000","0.0047","1.0187"
"1.3000","0.0052","1.5618"
"1.4000","0.0056","2.0288"
"1.5000","0.0060","2.3248"
"1.6000","0.0064","2.7213"
"1.7000","0.0068","3.1601"
"1.8000","0.0072","3.5102"
"1.9000","0.0076","4.0648"
"2.0000","0.0081","4.5593"
"2.1000","0.0085","5.0452"
"2.2000","0.0089","5.3944"
"2.3000","0.0093","5.9427"
"2.4000","0.0097","6.5218"
"2.5000","0.0101","7.1069"
"2.6000","0.0106","7.7070"
"2.7000","0.0110","8.2993"
"2.8000","0.0114","8.8815"
"2.9000","0.0118","9.4793"
"3.0000","0.0122","10.0735"
"3.1000","0.0126","10.6611"
"3.2000","0.0131","11.2534"
"3.3000","0.0135","11.8456"
"3.4000","0.0139","12.4240"
"3.5000","0.0143","13.0171"
"3.6000","0.0147","13.6022"
"3.7000","0.0152","14.1934"
"3.8000","0.0156","14.7684"
"3.9000","0.0160","15.3214"
"4.0000","0.0164","15.8496"
"4.1000","0.0168","16.4176"
"4.2000","0.0172","16.8663"
"4.3000","0.0177","17.3042"
"4.4000","0.0181","17.6597"
"4.5000","0.0185","17.2571"
"4.6000","0.0189","17.7183"
"4.7000","0.0193","18.0491"
"4.8000","0.0197","18.0915"
"4.9000","0.0202","18.4590"
"5.0000","0.0206","18.5707"
"5.1000","0.0210","18.8000"
"5.2000","0.0214","18.9396"
"5.3000","0.0218","19.1080"
"5.4000","0.0222","19.2871"
"5.5000","0.0227","19.3341"
"5.6000","0.0231","19.1605"
"5.7000","0.0235","19.2738"
"5.8000","0.0239","19.4930"
"5.9000","0.0243","19.0378"
"6.0000","0.0247","19.3937"
"6.1000","0.0252","19.0797"
"6.2000","0.0256","19.4800"
"6.3000","0.0260","19.3071"
"6.4000","0.0264","19.3545"
"6.5000","0.0268","19.5773"
"6.6000","0.0272","19.6483"
"6.7000","0.0277","19.8213"
"6.8000","0.0281","19.7819"
"6.9000","0.0285","19.7108"
"7.0000","0.0289","19.8032"
"7.1000","0.0293","20.0454"
"7.2000","0.0297","19.9003"
"7.3000","0.0301","20.1428"
"7.4000","0.0306","19.6044"
"7.5000","0.0310","20.0204"
"7.6000","0.0314","20.1548"
"7.7000","0.0318","20.0320"
"7.8000","0.0322","20.2260"
"7.9000","0.0327","20.2644"
"8.0000","0.0331","20.3174"
"8.1000","0.0335","19.8377"
"8.2000","0.0339","20.0753"
"8.3000","0.0343","20.3619"
"8.4000","0.0347","20.4691"
"8.5000","0.0351","20.5784"
"8.6000","0.0356","20.6245"
"8.7000","0.0360","20.6022"
"8.8000","0.0364","20.5762"
"8.9000","0.0368","20.6186"
"9.0000","0.0372","20.7614"
"9.1000","0.0376","20.7858"
"9.2000","0.0381","20.6093"
"9.3000","0.0385","20.8417"
"9.4000","0.0389","20.8215"
"9.5000","0.0393","20.9632"
"9.6000","0.0397","21.0603"
"9.7000","0.0401","21.0674"
"9.8000","0.0406","21.1713"
"9.9000","0.0410","21.2524"
"10.0000","0.0414","21.0923"
"10.1000","0.0418","21.1718"
"10.2000","0.0422","20.8494"
"10.3000","0.0426","21.1554"
"10.4000","0.0431","21.2670"
"10.5000","0.0435","21.3403"
"10.6000","0.0439","21.3218"
"10.7000","0.0443","20.8417"
"10.8000","0.0447","20.8886"
"10.9000","0.0451","21.2721"
"11.0000","0.0456","20.9598"
"11.1000","0.0460","21.3067"
"11.2000","0.0464","21.4506"
"11.3000","0.0468","21.5379"
"11.4000","0.0472","21.5036"
"11.5000","0.0476","21.6171"
"11.6000","0.0481","21.6420"
"11.7000","0.0485","21.7127"
"11.8000","0.0489","21.7611"
"11.9000","0.0493","21.6506"
"12.0000","0.0497","21.8166"
"12.1000","0.0501","21.8542"
"12.2000","0.0506","21.4201"
"12.3000","0.0510","21.7673"
"12.4000","0.0514","21.9062"
"12.5000","0.0518","21.7682"
"12.6000","0.0522","21.9568"
"12.7000","0.0526","22.0160"
"12.8000","0.0531","22.0513"
"12.9000","0.0535","21.9459"
"13.0000","0.0539","22.0897"
"13.1000","0.0543","22.1423"
"13.2000","0.0547","22.2052"
"13.3000","0.0551","22.2643"
"13.4000","0.0556","22.3016"
"13.5000","0.0560","22.2650"
