Time measurement,Extension,Primary load measurement
(s),(in),(lbf)
"0.00000","0.0000","-0.9998"
"0.20000","0.0005","-0.7471"
"0.40000","0.0014","-0.2377"
"0.60000","0.0022","0.4308"
"0.80000","0.0030","1.3701"
"1.00000","0.0039","2.7242"
"1.20000","0.0047","4.6824"
"1.40000","0.0055","7.3695"
"1.60000","0.0064","10.7337"
"1.80000","0.0072","14.5395"
"2.00000","0.0080","18.6211"
"2.20000","0.0089","22.8181"
"2.40000","0.0097","27.1158"
"2.60000","0.0105","31.4313"
"2.80000","0.0114","35.7029"
"3.00000","0.0122","39.9003"
"3.20000","0.0130","44.0405"
"3.40000","0.0139","48.1696"
"3.60000","0.0147","52.0925"
"3.80000","0.0155","55.9566"
"4.00000","0.0164","59.7440"
"4.20000","0.0172","63.4966"
"4.40000","0.0180","67.1555"
"4.60000","0.0189","70.6941"
"4.80000","0.0197","74.2021"
"5.00000","0.0205","77.6008"
"5.20000","0.0214","80.7690"
"5.40000","0.0222","83.8784"
"5.60000","0.0230","86.5076"
"5.80000","0.0239","89.4461"
"6.00000","0.0247","92.3307"
"6.20000","0.0255","95.0752"
"6.36100","0.0262","55.4716"

