database,alloy,T_C,phase,label,set_index,fraction
mc_fe,llm,1190.0,FCC_A1,FCC_A1,0,0.3936013331755438
mc_fe,llm,1190.0,BCC_A2,BCC_A2,1,0.6063986668322171
mc_fe,llm,1200.0,FCC_A1,FCC_A1,0,0.38056439077431803
mc_fe,llm,1200.0,BCC_A2,BCC_A2,1,0.6194356092470014
mc_fe,llm,1210.0,FCC_A1,FCC_A1,0,0.3672100779274152
mc_fe,llm,1210.0,BCC_A2,BCC_A2,1,0.6327899220760501
mc_fe,llm,1220.0,FCC_A1,FCC_A1,0,0.3535472089562047
mc_fe,llm,1220.0,BCC_A2,BCC_A2,1,0.6464527910625238
mc_fe,llm,1230.0,BCC_A2,BCC_A2,0,0.6604157947419627
mc_fe,llm,1230.0,FCC_A1,FCC_A1,1,0.33958420526369393
mc_fe,llm,1240.0,LIQUID,LIQUID,0,0.09618907439230304
mc_fe,llm,1240.0,BCC_A2,BCC_A2,1,0.7767144593072685
mc_fe,llm,1240.0,FCC_A1,FCC_A1,2,0.12709646630614554
mc_fe,llm,1250.0,LIQUID,LIQUID,0,0.1684237730257094
mc_fe,llm,1250.0,BCC_A2,BCC_A2,1,0.8315762270101816
mc_fe,llm,1260.0,LIQUID,LIQUID,0,0.19748453834467244
mc_fe,llm,1260.0,BCC_A2,BCC_A2,1,0.8025154616968272
mc_fe,llm,1270.0,LIQUID,LIQUID,0,0.22878832407688984
mc_fe,llm,1270.0,BCC_A2,BCC_A2,1,0.7712116759667038
mc_fe,llm,1280.0,LIQUID,LIQUID,0,0.2621812537666528
mc_fe,llm,1280.0,BCC_A2,BCC_A2,1,0.7378187462573476
