database,alloy,T_C,phase,label,set_index,fraction
mc_fe,benchmark,610.0,BCC_A2,BCC_A2,0,0.9006894560130267
mc_fe,benchmark,610.0,FCC_A1,FCC_A1,1,0.09700130352560565
mc_fe,benchmark,610.0,LIQUID,LIQUID,2,0.002309240452962304
mc_fe,benchmark,620.0,BCC_A2,BCC_A2,0,0.9062811898970707
mc_fe,benchmark,620.0,FCC_A1,FCC_A1,1,0.09141361765430032
mc_fe,benchmark,620.0,LIQUID,LIQUID,2,0.0023051924462001877
mc_fe,benchmark,630.0,BCC_A2,BCC_A2,0,0.9117176098020706
mc_fe,benchmark,630.0,FCC_A1,FCC_A1,1,0.08598177237110725
mc_fe,benchmark,630.0,LIQUID,LIQUID,2,0.0023006178671070247
mc_fe,benchmark,640.0,FCC_A1,FCC_A1,0,0.08073887677348898
mc_fe,benchmark,640.0,BCC_A2,BCC_A2,1,0.9169656859361958
mc_fe,benchmark,640.0,LIQUID,LIQUID,2,0.0022954373100877706
mc_fe,benchmark,650.0,BCC_A2,BCC_A2,0,0.9219964668725313
mc_fe,benchmark,650.0,FCC_A1,FCC_A1,1,0.07571397125439683
mc_fe,benchmark,650.0,LIQUID,LIQUID,2,0.0022895619280149855
mc_fe,benchmark,660.0,BCC_A2,BCC_A2,0,0.926786715229127
mc_fe,benchmark,660.0,FCC_A1,FCC_A1,1,0.07093039228118485
mc_fe,benchmark,660.0,LIQUID,LIQUID,2,0.002282892444213305
mc_fe,benchmark,670.0,FCC_A1,FCC_A1,0,0.06640458357168767
mc_fe,benchmark,670.0,BCC_A2,BCC_A2,1,0.9313200979496322
mc_fe,benchmark,670.0,LIQUID,LIQUID,2,0.0022753185602477546
mc_fe,benchmark,680.0,FCC_A1,FCC_A1,0,0.06214553808783875
mc_fe,benchmark,680.0,BCC_A2,BCC_A2,1,0.9355877443602767
mc_fe,benchmark,680.0,LIQUID,LIQUID,2,0.0022667176612836113
mc_fe,benchmark,690.0,BCC_A2,BCC_A2,0,0.9395881359474468
mc_fe,benchmark,690.0,FCC_A1,FCC_A1,1,0.05815490981896057
mc_fe,benchmark,690.0,LIQUID,LIQUID,2,0.00225695426338625
mc_fe,benchmark,700.0,FCC_A1,FCC_A1,0,0.05442771265240747
mc_fe,benchmark,700.0,BCC_A2,BCC_A2,1,0.9433264083101893
mc_fe,benchmark,700.0,LIQUID,LIQUID,2,0.0022458790460120246
mc_fe,benchmark,710.0,BCC_A2,BCC_A2,0,0.9468132352730356
mc_fe,benchmark,710.0,FCC_A1,FCC_A1,1,0.050953437051768836
mc_fe,benchmark,710.0,LIQUID,LIQUID,2,0.0022333277072157285
mc_fe,benchmark,720.0,BCC_A2,BCC_A2,0,0.9500635099982393
mc_fe,benchmark,720.0,FCC_A1,FCC_A1,1,0.047717369870835205
mc_fe,benchmark,720.0,LIQUID,LIQUID,2,0.00221912015974012
mc_fe,benchmark,730.0,BCC_A2,BCC_A2,0,0.953095008735321
mc_fe,benchmark,730.0,FCC_A1,FCC_A1,1,0.044701931789898876
mc_fe,benchmark,730.0,LIQUID,LIQUID,2,0.002203059478790728
mc_fe,benchmark,740.0,BCC_A2,BCC_A2,0,0.9559271943942949
mc_fe,benchmark,740.0,FCC_A1,FCC_A1,1,0.041887874596715564
mc_fe,benchmark,740.0,LIQUID,LIQUID,2,0.002184931029450157
mc_fe,benchmark,750.0,FCC_A1,FCC_A1,0,0.03925528056207971
mc_fe,benchmark,750.0,BCC_A2,BCC_A2,1,0.9585802179929147
mc_fe,benchmark,750.0,LIQUID,LIQUID,2,0.002164501463885573
mc_fe,benchmark,760.0,FCC_A1,FCC_A1,0,0.036784320692489166
mc_fe,benchmark,760.0,BCC_A2,BCC_A2,1,0.9610741615255592
mc_fe,benchmark,760.0,LIQUID,LIQUID,2,0.002141517756683244
mc_fe,benchmark,770.0,FCC_A1,FCC_A1,0,0.03445579010895404
mc_fe,benchmark,770.0,BCC_A2,BCC_A2,1,0.9634285033582259
mc_fe,benchmark,770.0,LIQUID,LIQUID,2,0.0021157065016075196
mc_fe,benchmark,780.0,FCC_A1,FCC_A1,0,0.03225145632674494
mc_fe,benchmark,780.0,BCC_A2,BCC_A2,1,0.9656617709124115
mc_fe,benchmark,780.0,LIQUID,LIQUID,2,0.0020867728586577323
mc_fe,benchmark,790.0,BCC_A2,BCC_A2,0,0.9677913449435528
mc_fe,benchmark,790.0,FCC_A1,FCC_A1,1,0.030154255399401895
mc_fe,benchmark,790.0,LIQUID,LIQUID,2,0.0020543996417330315
mc_fe,benchmark,800.0,FCC_A1,FCC_A1,0,0.0281483737613787
mc_fe,benchmark,800.0,BCC_A2,BCC_A2,1,0.9698333792618367
mc_fe,benchmark,800.0,LIQUID,LIQUID,2,0.00201824700127017
mc_fe,benchmark,810.0,FCC_A1,FCC_A1,0,0.026219257974882313
mc_fe,benchmark,810.0,BCC_A2,BCC_A2,1,0.9718027907932218
mc_fe,benchmark,810.0,LIQUID,LIQUID,2,0.0019779512645949813
mc_fe,benchmark,820.0,BCC_A2,BCC_A2,0,0.9737133068975893
mc_fe,benchmark,820.0,FCC_A1,FCC_A1,1,0.024353568591118074
mc_fe,benchmark,820.0,LIQUID,LIQUID,2,0.0019331244936668852
mc_fe,benchmark,830.0,BCC_A2,BCC_A2,0,0.9755775383611083
mc_fe,benchmark,830.0,FCC_A1,FCC_A1,1,0.02253910762662909
mc_fe,benchmark,830.0,LIQUID,LIQUID,2,0.001883353989172712
mc_fe,benchmark,840.0,BCC_A2,BCC_A2,0,0.9774070724687584
