database,series,ni_at,T_C,label,fraction,alpha_solvus_C,solidus_C
mpea-02b,C_measured,4.2,1340.0,LIQUID,0.6852602757660382,,1300.0
mpea-02b,C_measured,4.2,1340.0,A1_FCC,0.31473972424319807,,1300.0
mpea-02b,C_measured,4.2,1350.0,LIQUID,0.1806920067510959,,1300.0
mpea-02b,C_measured,4.2,1350.0,B2_BCC[A2],0.8193079932580128,,1300.0
mpea-02b,C_measured,4.2,1360.0,LIQUID,0.2550508647575142,,1300.0
mpea-02b,C_measured,4.2,1360.0,B2_BCC[A2],0.7449491353330927,,1300.0
mpea-02b,C_measured,4.2,1370.0,LIQUID,0.3635378790093346,,1300.0
mpea-02b,C_measured,4.2,1370.0,B2_BCC[A2],0.6364621210021417,,1300.0
mpea-02b,C_measured,4.2,1380.0,LIQUID,0.5163416317731346,,1300.0
mpea-02b,C_measured,4.2,1380.0,B2_BCC[A2],0.48365836823660396,,1300.0
mpea-02b,C_measured,4.2,1390.0,LIQUID,0.719804710512119,,1300.0
mpea-02b,C_measured,4.2,1390.0,B2_BCC[A2],0.2801952894433532,,1300.0
mpea-02b,C_measured,4.2,1400.0,LIQUID,0.9999999999917243,,1300.0
mpea-02b,C_measured,4.2,400.0,A1_FCC,0.35920586719678915,,1300.0
mpea-02b,C_measured,4.2,400.0,B2_BCC[A2],0.14566645925102173,,1300.0
mpea-02b,C_measured,4.2,400.0,B2_BCC[ordered],0.1102935334233258,,1300.0
mpea-02b,C_measured,4.2,400.0,CUB_A13,0.3680941598173759,,1300.0
mpea-02b,C_measured,4.2,400.0,M23C6_D84,0.0167399929138694,,1300.0
mpea-02b,C_measured,4.2,425.0,A1_FCC,0.8089556006249232,,1300.0
mpea-02b,C_measured,4.2,425.0,CUB_A13,0.08196397720195923,,1300.0
mpea-02b,C_measured,4.2,425.0,B2_BCC[ordered],0.10739181719947313,,1300.0
mpea-02b,C_measured,4.2,425.0,M23C6_D84,0.001688604516044106,,1300.0
mpea-02b,C_measured,4.2,450.0,A1_FCC,0.894565848479571,,1300.0
mpea-02b,C_measured,4.2,450.0,B2_BCC[ordered],0.10543415154758531,,1300.0
mpea-02b,C_measured,4.2,475.0,A1_FCC,0.8976191206814139,,1300.0
mpea-02b,C_measured,4.2,475.0,B2_BCC[ordered],0.10238087933935573,,1300.0
mpea-02b,C_measured,4.2,500.0,A1_FCC,0.9011277668744515,,1300.0
mpea-02b,C_measured,4.2,500.0,B2_BCC[ordered],0.0988722331407788,,1300.0
mpea-02b,C_measured,4.2,525.0,A1_FCC,0.9050951315663662,,1300.0
mpea-02b,C_measured,4.2,525.0,B2_BCC[ordered],0.09490486842814039,,1300.0
mpea-02b,C_measured,4.2,550.0,A1_FCC,0.9095201655730147,,1300.0
mpea-02b,C_measured,4.2,550.0,B2_BCC[ordered],0.0904798344311832,,1300.0
mpea-02b,C_measured,4.2,575.0,A1_FCC,0.9143980692093538,,1300.0
mpea-02b,C_measured,4.2,575.0,B2_BCC[ordered],0.0856019307629621,,1300.0
mpea-02b,C_measured,4.2,600.0,A1_FCC,0.919721092781015,,1300.0
mpea-02b,C_measured,4.2,600.0,B2_BCC[ordered],0.0802789072219167,,1300.0
mpea-02b,C_measured,4.2,625.0,B2_BCC[ordered],0.0745205401685794,,1300.0
mpea-02b,C_measured,4.2,625.0,A1_FCC,0.9254794598224249,,1300.0
mpea-02b,C_measured,4.2,650.0,A1_FCC,0.9316623812597234,,1300.0
mpea-02b,C_measured,4.2,650.0,B2_BCC[ordered],0.0683376187399111,,1300.0
mpea-02b,C_measured,4.2,675.0,B2_BCC[ordered],0.06174086162217499,,1300.0
mpea-02b,C_measured,4.2,675.0,A1_FCC,0.938259138365028,,1300.0
mpea-02b,C_measured,4.2,700.0,A1_FCC,0.945260234073167,,1300.0
mpea-02b,C_measured,4.2,700.0,B2_BCC[ordered],0.054739765928968474,,1300.0
mpea-02b,C_measured,4.2,725.0,A1_FCC,0.9526586441638821,,1300.0
mpea-02b,C_measured,4.2,725.0,B2_BCC[ordered],0.047341355850289916,,1300.0
mpea-02b,C_measured,4.2,750.0,B2_BCC[ordered],0.039548751708076195,,1300.0
mpea-02b,C_measured,4.2,750.0,A1_FCC,0.960451248292337,,1300.0
mpea-02b,C_measured,4.2,775.0,B2_BCC[ordered],0.031359403021211714,,1300.0
mpea-02b,C_measured,4.2,775.0,A1_FCC,0.9686405969820951,,1300.0
mpea-02b,C_measured,4.2,800.0,A1_FCC,0.9772372990199168,,1300.0
mpea-02b,C_measured,4.2,800.0,B2_BCC[ordered],0.022762700986555553,,1300.0
mpea-02b,C_measured,4.2,825.0,B2_BCC[ordered],0.013736446871650706,,1300.0
mpea-02b,C_measured,4.2,825.0,A1_FCC,0.9862635532141126,,1300.0
mpea-02b,C_measured,4.2,850.0,A1_FCC,0.9957588363666823,,1300.0
mpea-02b,C_measured,4.2,850.0,B2_BCC[ordered],0.0042411636474791545,,1300.0
mpea-02b,C_measured,4.2,875.0,A1_FCC,0.9999999999756587,,1300.0
mpea-02b,C_measured,4.2,900.0,A1_FCC,0.9999999999885272,,1300.0
mpea-02b,C_measured,4.2,925.0,A1_FCC,1.0000000000213445,,1300.0
mpea-02b,C_measured,4.2,950.0,A1_FCC,0.9999999999965505,,1300.0
mpea-02b,C_measured,4.6,1000.0,A1_FCC,0.9999999999985351,,1300.0
mpea-02b,C_measured,4.6,1010.0,A1_FCC,1.000000000001869,,1300.0
mpea-02b,C_measured,4.6,1020.0,A1_FCC,0.9999999999976583,,1300.0
mpea-02b,C_measured,4.6,1030.0,A1_FCC,0.9999999999898918,,1300.0
mpea-02b,C_measured,4.6,1040.0,A1_FCC,1.0000000000234779,,1300.0
mpea-02b,C_measured,4.6,1050.0,A1_FCC,1.0000000000209066,,1300.0
mpea-02b,C_measured,4.6,1060.0,A1_FCC,0.9919336046989449,,1300.0
mpea-02b,C_measured,4.6,1060.0,B2_BCC[A2],0.008066395319765027,,1300.0
mpea-02b,C_measured,4.6,1070.0,A1_FCC,0.9394877672136908,,1300.0
mpea-02b,C_measured,4.6,1070.0,B2_BCC[A2],0.06051223277221506,,1300.0
mpea-02b,C_measured,4.6,1080.0,A1_FCC,0.8861848149077529,,1300.0
mpea-02b,C_measured,4.6,1080.0,B2_BCC[A2],0.11381518510319219,,1300.0
mpea-02b,C_measured,4.6,1090.0,A1_FCC,0.8322039814500668,,1300.0
mpea-02b,C_measured,4.6,1090.0,B2_BCC[A2],0.16779601854606144,,1300.0
mpea-02b,C_measured,4.6,1100.0,A1_FCC,0.7777884345011389,,1300.0
mpea-02b,C_measured,4.6,1100.0,B2_BCC[A2],0.2222115654777523,,1300.0
mpea-02b,C_measured,4.6,1110.0,A1_FCC,0.7232524047015386,,1300.0
mpea-02b,C_measured,4.6,1110.0,B2_BCC[A2],0.2767475952967196,,1300.0
mpea-02b,C_measured,4.6,1120.0,A1_FCC,0.6689831298980164,,1300.0
mpea-02b,C_measured,4.6,1120.0,B2_BCC[A2],0.33101687008824304,,1300.0
mpea-02b,C_measured,4.6,1130.0,A1_FCC,0.6154340736755055,,1300.0
mpea-02b,C_measured,4.6,1130.0,B2_BCC[A2],0.38456592629544084,,1300.0
mpea-02b,C_measured,4.6,1140.0,A1_FCC,0.5631061097039486,,1300.0
mpea-02b,C_measured,4.6,1140.0,B2_BCC[A2],0.436893890317487,,1300.0
mpea-02b,C_measured,4.6,1150.0,A1_FCC,0.5125152317924933,,1300.0
mpea-02b,C_measured,4.6,1150.0,B2_BCC[A2],0.48748476821127007,,1300.0
mpea-02b,C_measured,4.6,1160.0,A1_FCC,0.46414921366480466,,1300.0
mpea-02b,C_measured,4.6,1160.0,B2_BCC[A2],0.5358507863213164,,1300.0
mpea-02b,C_measured,4.6,1170.0,A1_FCC,0.4184205011479888,,1300.0
mpea-02b,C_measured,4.6,1170.0,B2_BCC[A2],0.581579498835429,,1300.0
mpea-02b,C_measured,4.6,1180.0,A1_FCC,0.3756260326133512,,1300.0
mpea-02b,C_measured,4.6,1180.0,B2_BCC[A2],0.6243739673631445,,1300.0
mpea-02b,C_measured,4.6,1190.0,A1_FCC,0.33592403993840353,,1300.0
mpea-02b,C_measured,4.6,1190.0,B2_BCC[A2],0.6640759600508906,,1300.0
mpea-02b,C_measured,4.6,1200.0,A1_FCC,0.2993327016538032,,1300.0
mpea-02b,C_measured,4.6,1200.0,B2_BCC[A2],0.7006672983707942,,1300.0
mpea-02b,C_measured,4.6,1210.0,A1_FCC,0.265748390244337,,1300.0
mpea-02b,C_measured,4.6,1210.0,B2_BCC[A2],0.7342516097501749,,1300.0
mpea-02b,C_measured,4.6,1220.0,A1_FCC,0.23497598672756506,,1300.0
mpea-02b,C_measured,4.6,1220.0,B2_BCC[A2],0.765024013288392,,1300.0
mpea-02b,C_measured,4.6,1230.0,A1_FCC,0.20676243849005355,,1300.0
mpea-02b,C_measured,4.6,1230.0,B2_BCC[A2],0.7932375615434467,,1300.0
mpea-02b,C_measured,4.6,1240.0,A1_FCC,0.18082678834964375,,1300.0
mpea-02b,C_measured,4.6,1240.0,B2_BCC[A2],0.8191732116424427,,1300.0
mpea-02b,C_measured,4.6,1250.0,A1_FCC,0.15690340305562334,,1300.0
mpea-02b,C_measured,4.6,1250.0,B2_BCC[A2],0.843096596894909,,1300.0
mpea-02b,C_measured,4.6,1260.0,A1_FCC,0.13467730626611635,,1300.0
